time_[s] a_x a_y a_z alpha
0.984 0.005859375 0.02587890625 1.004638671875 0.005832254648318019
0.996 0.004638671875 0.028076171875 1.005859375 0.004611617793371548
1.008 0.004150390625 0.0244140625 1.0009765625 0.00414631770215502
1.02 0.005859375 0.026123046875 1.0078125 0.005813887981841795
1.032 0.00439453125 0.025634765625 1.003173828125 0.004380599869048777
1.043 0.0048828125 0.02685546875 1.002685546875 0.004869696105871839
1.056 0.00537109375 0.02734375 1.00341796875 0.0053527469308193385
1.067 0.004150390625 0.0244140625 1.0068359375 0.0041221880963694495
1.08 0.00439453125 0.02734375 1.0068359375 0.004364666755082331
1.091 0.006103515625 0.02490234375 1.005126953125 0.006072308167320217
1.104 0.00390625 0.024658203125 1.005126953125 0.0038863054283732944
1.115 0.00634765625 0.025634765625 1.005859375 0.006310595840059449
